"සුත්‍ර නාමය",පිටක​ය,නිකා​ය,වග්ග​ය,"පෙළ පිටු අංක","PDF පෙළ පිටු අංක ","PDF පාළි​ අටුවාව","සිංහල අටුවාව","PDF සිංහල අටුවාව","PDF පාළි ටීකා","පාළි - සිංහල ටීකා"
"පාසාදික සූත්‍රය","සුත්ත පිටකය","දීඝනිකාය 03","3.පාථික වර්‍ගය","SP_DN3 - 195","""PDF"" SP_DN3 - 210","PA08_DN3 - 066","SA_DN2 - 238","""PDF"" SA_DN2 - 238","PT16_DN3 - 066"," ST_DN3 - 150"
"ලක්ඛණ සූත්‍රය","සුත්ත පිටකය","දීඝනිකාය 03","3.පාථික වර්‍ගය","SP_DN3 - 237","""PDF"" SP_DN3 - 252","PA08_DN3 - 075","SA_DN2 - 249","""PDF"" SA_DN2 - 249","PT16_DN3 - 075","ST_DN3 - 172"
"සිගාලක සූත්‍රය","සුත්ත පිටකය","දීඝනිකාය 03","3.පාථික වර්‍ගය","SP_DN3 - 289","""PDF"" SP_DN3 - 304","PA08_DN3 - 092","SA_DN2 - 266","""PDF"" SA_DN2 - 266","PT16_DN3 - 095","ST_DN3 - 216"
"ආටානාටිය සූත්‍රය","සුත්ත පිටකය","දීඝනිකාය 03","3.පාථික වර්‍ගය","SP_DN3 - 313","""PDF"" SP_DN3 - 328","PA08_DN3 - 106","SA_DN2 - 281","""PDF"" SA_DN2 - 281","PT16_DN3 - 112","ST_DN3 - 250"
"සඞ්ගීති සූත්‍රය","සුත්ත පිටකය","දීඝනිකාය 03","3.පාථික වර්‍ගය","SP_DN3 - 353","""PDF"" SP_DN3 - 368","PA08_DN3 - 114","SA_DN2 - 290","""PDF"" SA_DN2 - 290","PT16_DN3 - 124","ST_DN3 - 276"
"දසුත්තර සූත්‍රය","සුත්ත පිටකය","දීඝනිකාය 03","3.පාථික වර්‍ගය","SP_DN3 - 469","""PDF"" SP_DN3 - 484","PA08_DN3 - 179","SA_DN2 - 357","""PDF"" SA_DN2 - 357","PT16_DN3 - 211","ST_DN3- 452"
"මූලපරියාය සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 01","මූලපණ්ණාසකය 1.මූලපරියාය වර්‍ගය","SP_MN1 - 002","""PDF"" SP_MN1 - 022","PA09_MN1 - 003","SA_MN1 - 022","""PDF"" SA_MN1 - 001","PT19_MN1 - 018","ST_MN1- 038"
"සබ්බාසව සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 01","මූලපණ්ණාසකය 1.මූලපරියාය වර්‍ගය","SP_MN1 - 018","""PDF"" SP_MN1 - 038","PA09_MN1 - 048","SA_MN1 - 081","""PDF"" SA_MN1 - 060","PT19_MN1 - 109","ST_MN1 - 234"
"ධම්මදායාද සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 01","මූලපණ්ණාසකය 1.මූලපරියාය වර්‍ගය","SP_MN1 - 031","""PDF"" SP_MN1 - 050","PA09_MN1 - 071","SA_MN1 - 116","""PDF"" SA_MN1 - 095","PT19_MN1 - 139","ST_MN1 - 300"
"භයභේරව සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 01","මූලපණ්ණාසකය 1.මූලපරියාය වර්‍ගය","SP_MN1 - 039","""PDF"" SP_MN1 - 058","PA09_MN1 - 088","SA_MN1 - 145","""PDF"" SA_MN1 - 124","PT19_MN1 - 159","ST_MN1 - 344"
"අනඞ්ගණ සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 01","මූලපණ්ණාසකය 1.මූලපරියාය වර්‍ගය","SP_MN1 - 055","""PDF"" SP_MN1 - 074","PA09_MN1 - 111","SA_MN1 - 181","""PDF"" SA_MN1 - 160","PT19_MN1 - 187","ST_MN1 - 404"
"ආකඞ්ඛෙය්‍ය සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 01","මූලපණ්ණාසකය 1.මූලපරියාය වර්‍ගය","SP_MN1 - 075","""PDF"" SP_MN1 - 094","PA09_MN1 - 124","SA_MN1 - 201","""PDF"" SA_MN1 - 180","PT19_MN1 - 197","ST_MN1 - 428"
"වත්‍ථුපම සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 01","මූලපණ්ණාසකය 1.මූලපරියාය වර්‍ගය","SP_MN1 - 083","""PDF"" SP_MN1 - 102","PA09_MN1 - 133","SA_MN1 - 215","""PDF"" SA_MN1 - 194","PT19_MN1 - 207","ST_MN1 - 450"
"සල්ලේඛ සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 01","මූලපණ්ණාසකය 1.මූලපරියාය වර්‍ගය","SP_MN1 - 093","""PDF"" SP_MN1 - 112","PA09_MN1 - 144","SA_MN1 - 234","""PDF"" SA_MN1 - 213","PT19_MN1 - 219","ST_MN1 - 476"
"සම්මාදිට්ඨි සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 01","මූලපණ්ණාසකය 1.මූලපරියාය වර්‍ගය","SP_MN1 - 111","""PDF"" SP_MN1 - 130","PA09_MN1 - 155","SA_MN1 - 253","""PDF"" SA_MN1 - 231","PT19_MN1 - 229","ST_MN1 - 498"
"සතිපට්ඨාන සූත්‍රය","සුත්ත පිටකය","මජ්ඣිමනිකාය 01","මූලපණ්ණාසකය 1.මූලපරියාය වර්‍ගය","SP_MN1 - 135","""PDF"" SP_MN1 - 154","PA09_MN1 - 179","SA_MN1 - 288","""PDF"" SA_MN1 - 267","PT19_MN1 - 253","ST_MN1 - 548"
